Date,Close,Predictions
2018-08-15,1882.6199951171875,1925.8916
2018-08-16,1886.52001953125,1885.08
2018-08-17,1882.219970703125,1892.7767
2018-08-20,1876.7099609375,1888.4573
2018-08-21,1883.4200439453125,1883.202
2018-08-22,1904.9000244140625,1890.8369
2018-08-23,1902.9000244140625,1912.874
2018-08-24,1905.3900146484375,1908.6837
2018-08-27,1927.6800537109375,1911.317
2018-08-28,1932.8199462890625,1934.697
2018-08-29,1998.0999755859375,1938.1991
2018-08-30,2002.3800048828125,2006.6852
2018-08-31,2012.7099609375,2005.2908
2018-09-04,2039.510009765625,2015.7556
2018-09-05,1994.8199462890625,2043.6904
2018-09-06,1958.31005859375,1994.4238
2018-09-07,1952.0699462890625,1960.6855
2018-09-10,1939.010009765625,1958.5527
2018-09-11,1987.1500244140625,1945.915
2018-09-12,1990.0,1998.1279
2018-09-13,1989.8699951171875,1996.2979
2018-09-14,1970.18994140625,1995.275
2018-09-17,1908.030029296875,1974.3291
2018-09-18,1941.050048828125,1910.5695
2018-09-19,1926.4200439453125,1951.7438
2018-09-20,1944.300048828125,1933.5112
2018-09-21,1915.010009765625,1953.338
2018-09-24,1934.3599853515625,1920.4398
2018-09-25,1974.550048828125,1943.3008
2018-09-26,1974.8499755859375,1983.9669
2018-09-27,2012.97998046875,1980.2045
2018-09-28,2003.0,2020.1816
2018-10-01,2004.3599853515625,2006.1252
2018-10-02,1971.31005859375,2008.6447
2018-10-03,1952.760009765625,1974.0546
2018-10-04,1909.4200439453125,1958.0969
2018-10-05,1889.6500244140625,1914.5629
2018-10-08,1864.4200439453125,1898.0182
2018-10-09,1870.3199462890625,1873.3103
2018-10-10,1755.25,1881.5609
2018-10-11,1719.3599853515625,1759.2294
2018-10-12,1788.6099853515625,1731.0767
2018-10-15,1760.949951171875,1807.015
2018-10-16,1819.9599609375,1771.2405
2018-10-17,1831.72998046875,1833.8253
2018-10-18,1770.719970703125,1840.3431
2018-10-19,1764.030029296875,1774.2817
2018-10-22,1789.300048828125,1772.2181
2018-10-23,1768.699951171875,1799.8542
2018-10-24,1664.199951171875,1776.1617
2018-10-25,1782.1700439453125,1668.0258
2018-10-26,1642.81005859375,1800.2295
2018-10-29,1538.8800048828125,1645.1913
2018-10-30,1530.4200439453125,1546.5698
2018-10-31,1598.010009765625,1546.1934
2018-11-01,1665.530029296875,1617.3512
2018-11-02,1665.530029296875,1681.5223
2018-11-05,1627.800048828125,1674.4163
2018-11-06,1642.81005859375,1633.4619
