epoch,loss,val_loss
0,0.0007607854786328971,0.00021926683257333934
1,2.8625774575630203e-05,0.00027825075085274875
2,2.8145694159320556e-05,0.0002450897009111941
3,2.6167161195189692e-05,0.00024090055376291275
4,2.7360045351088047e-05,0.0004875336599070579
5,2.897627928177826e-05,0.00026896927738562226
6,2.9013786843279377e-05,0.0003010400105267763
7,2.610137926239986e-05,0.000523810856975615
8,2.4453733203699812e-05,0.0002611844683997333
9,2.3352467906079255e-05,0.00028104096418246627
10,2.2583099053008482e-05,0.0002215241693193093
11,2.0899440642097034e-05,0.00014474410272669047
12,2.1240581190795638e-05,0.00014751817798241973
13,2.3542383132735267e-05,0.00014387656119652092
14,2.3814507585484535e-05,0.00020347793179098517
15,2.5154278773698024e-05,0.00020131023484282196
16,2.0855310140177608e-05,0.00015964830527082086
17,1.8017628462985158e-05,0.0002823819231707603
18,1.84557429747656e-05,0.00020492024486884475
19,1.7817354091675952e-05,0.0001600224059075117
20,1.64606226462638e-05,0.00011829859431600198
21,1.6461210179841146e-05,0.0002951913047581911
22,1.8312966858502477e-05,0.0001228032197104767
23,1.7706113794702105e-05,0.00017593512893654406
24,1.8130160242435522e-05,0.00023166887694969773
25,1.929759673657827e-05,0.00011007084685843438
26,1.542925019748509e-05,0.00026567309396341443
27,1.5268256902345456e-05,0.00012313135084696114
28,1.44133809953928e-05,8.556212560506538e-05
29,1.9038652681047097e-05,8.296268060803413e-05
30,1.528695793240331e-05,0.00022715642990078777
31,1.5531933968304656e-05,0.00019609610899351537
32,1.4570691746484954e-05,0.00012566495570354164
33,1.3254134501039516e-05,7.454559818143025e-05
34,1.1342425750626717e-05,0.00011294215073576197
35,1.1659983101708349e-05,8.704025822225958e-05
36,1.047841851686826e-05,0.00021225721866358072
37,1.2081289241905324e-05,0.00013019776088185608
38,1.0390588613518048e-05,8.121365681290627e-05
39,9.309781489719171e-06,7.15177011443302e-05
40,1.1479682143544778e-05,7.823312625987455e-05
41,1.1855327102239244e-05,6.148603279143572e-05
42,8.67524795467034e-06,5.854712435393594e-05
43,9.996701010095421e-06,0.00011124855518573895
44,1.144035195466131e-05,6.762216798961163e-05
45,7.85920383350458e-06,6.67086205794476e-05
46,9.061343916982878e-06,7.431429548887536e-05
47,9.078108632820658e-06,5.53914433112368e-05
48,9.401184797752649e-06,5.323008736013435e-05
49,9.608989785192534e-06,0.00014585244935005903
50,8.44489022711059e-06,8.896912186173722e-05
51,8.50587366585387e-06,5.739156040363014e-05
52,8.623970643384382e-06,7.454093429259956e-05
53,7.457666470145341e-06,8.51175282150507e-05
54,8.252651241491549e-06,5.051069820183329e-05
55,7.9549890870112e-06,0.00016133494500536472
56,8.364530913240742e-06,5.4536030802410096e-05
57,9.325854080088902e-06,5.303350917529315e-05
58,1.1661065400403459e-05,5.548089393414557e-05
59,6.626323283853708e-06,5.041429903940298e-05
