epoch,loss,val_loss
0,0.00165183178614825,0.0006703537073917687
1,0.0001628761674510315,0.0007330281077884138
2,0.00014086533337831497,0.0006927418289706111
3,0.00014155007374938577,0.0005726617528125644
4,0.00013776567357126623,0.0010091428412124515
5,0.00012927158968523145,0.0005372645100578666
6,0.00011257473670411855,0.0005606388440355659
7,0.00011330492998240516,0.000614966731518507
8,0.00013401311298366636,0.0005919617251493037
9,0.00010867293894989416,0.0004842521157115698
10,0.00011185184848727658,0.00041472891462035477
11,9.128599776886404e-05,0.00043261682731099427
12,9.866915206657723e-05,0.00045665301149711013
13,7.942104275571182e-05,0.0003766649169847369
14,8.934527431847528e-05,0.00032439627102576196
15,7.518490747315809e-05,0.0003017442359123379
16,7.411871774820611e-05,0.0002885953872464597
17,8.175876428140327e-05,0.0004075756878592074
18,6.640634092036635e-05,0.0004485782701522112
19,6.431041401810944e-05,0.00034495737054385245
20,6.171975837787613e-05,0.0003030909283552319
21,5.49677133676596e-05,0.0001967462303582579
22,5.8156540035270154e-05,0.00040979517507366836
23,5.405421688919887e-05,0.00021313260367605835
24,5.90599920542445e-05,0.00016118197527248412
25,6.43083403701894e-05,0.00021213341096881777
26,5.814447649754584e-05,0.00017927735461853445
27,5.3801417379872873e-05,0.00014290410035755485
28,5.6623259297339246e-05,0.0001818461314542219
29,4.042149521410465e-05,0.00013405628851614892
30,3.9703361835563555e-05,0.0001451334828743711
31,4.443298530532047e-05,0.0002228030498372391
32,4.6571458369726315e-05,0.00012471171794459224
33,3.90912318835035e-05,0.00011762251233449206
34,4.2959018173860386e-05,0.0001590647007105872
35,3.5225075407652184e-05,0.0002289935073349625
36,3.551318877725862e-05,0.00011540534615051001
37,3.7405643524834886e-05,0.000190355975064449
38,3.5319168091518804e-05,0.00016267289174720645
39,3.54916846845299e-05,0.00011673540575429797
40,3.510600799927488e-05,0.00011280317266937345
41,3.835545794572681e-05,0.00013601980754174292
42,3.251204907428473e-05,0.00011260137398494408
43,3.3717074984451756e-05,0.00011313897994114086
44,3.6093213566346094e-05,0.00011288741370663047
45,3.9915201341500506e-05,0.00011768910917453468
46,3.450928124948405e-05,0.00012993230484426022
47,4.629664545063861e-05,0.000208758981898427
48,4.7896948672132567e-05,0.00020279735326766968
49,3.328076854813844e-05,0.00018110683595295995
50,3.3031094062607735e-05,0.0001138440566137433
51,2.9322076443349943e-05,0.00015023713058326393
52,3.069181911996566e-05,0.00011370013089617714
53,3.6020410334458575e-05,0.00011796548642450944
54,3.2675940019544214e-05,0.00021648523397743702
55,3.527372609823942e-05,0.00020846653205808252
56,3.9888807805255055e-05,0.00013870470866095275
57,3.504329652059823e-05,0.00013915474119130522
58,3.640709110186435e-05,0.00012721342500299215
59,3.7351717764977366e-05,0.00011377368355169892
