epoch,loss,val_loss
0,0.0004202121344860643,9.71094923443161e-05
1,3.007847408298403e-05,0.00010337555431760848
2,2.6366509700892493e-05,0.00010180496610701084
3,2.688695167307742e-05,9.402136493008584e-05
4,2.7809952371171676e-05,8.358786726603284e-05
5,2.4498560378560796e-05,9.938748553395271e-05
6,2.6667114070733078e-05,8.102734864223748e-05
7,2.638045589264948e-05,0.00012149901158409193
8,2.3616827093064785e-05,8.380469807889313e-05
9,2.588720599305816e-05,0.00013109931023791432
10,2.3923401386127807e-05,8.399222133448347e-05
11,2.5605530026950873e-05,8.011463069124147e-05
12,2.2479849576484412e-05,0.0001395311119267717
13,2.875694917747751e-05,9.618391777621582e-05
14,1.7745778677635826e-05,8.757538307690993e-05
15,1.9471350242383778e-05,6.031538578099571e-05
16,1.933880957949441e-05,0.00010917821055045351
17,2.0448163922992535e-05,6.779362593078986e-05
18,2.4393995772697963e-05,6.0403759562177584e-05
19,1.55102061398793e-05,5.369557038648054e-05
20,1.7989797925110906e-05,5.168743518879637e-05
21,1.6697178580216132e-05,5.0448776164557785e-05
22,1.6540430806344375e-05,6.786909216316417e-05
23,1.7527525415061973e-05,0.00015590871043968946
24,1.4712374650116544e-05,0.00010602643305901438
25,1.9713812434929423e-05,4.570565579342656e-05
26,1.4994451703387313e-05,0.00010397230653325096
27,1.4946307601348963e-05,4.2117702832911164e-05
28,1.1976967471127864e-05,4.905402602162212e-05
29,1.337908543064259e-05,0.00011375682515790686
30,1.2743588740704581e-05,4.0422419260721654e-05
31,1.2814973160857335e-05,8.432919275946915e-05
32,1.164443528978154e-05,5.85547968512401e-05
33,1.1393600289011374e-05,4.965916741639376e-05
34,1.1523003195179626e-05,5.7141143770422786e-05
35,1.093684204533929e-05,4.317859566072002e-05
36,9.050954759004526e-06,4.536216874839738e-05
37,9.437113476451486e-06,3.798041871050373e-05
38,1.0356118764320854e-05,4.9476100684842095e-05
39,1.0597127584333066e-05,4.4062275264877826e-05
40,9.919633157551289e-06,6.835892418166623e-05
41,9.76324372459203e-06,4.665806045522913e-05
42,1.1570008609851357e-05,9.930284431902692e-05
43,7.638138413312845e-06,3.719079904840328e-05
44,1.0891986676142551e-05,5.840123776579276e-05
45,9.67969299381366e-06,5.207357389735989e-05
46,1.0546773410169408e-05,6.997789751039818e-05
47,9.553828022035304e-06,6.017470150254667e-05
48,1.0324140021111816e-05,4.613908095052466e-05
49,8.511176019965205e-06,4.6962741180323064e-05
50,8.453494956484064e-06,5.528896508621983e-05
51,7.927083970571402e-06,3.9006208680802956e-05
52,8.507268830726389e-06,4.057091791764833e-05
53,7.666711098863743e-06,4.896088648820296e-05
54,1.0180167919315863e-05,5.09934761794284e-05
55,9.688451427791733e-06,6.137204036349431e-05
56,8.627730494481511e-06,5.002050966140814e-05
57,8.88338854565518e-06,6.436069088522345e-05
58,8.502470336679835e-06,4.3638498027576134e-05
59,9.556611985317431e-06,4.6451423258986324e-05
